date,RC20,HV20,RC40,HV40,RC60,HV60,RC90,HV90,沪深300
2016-01-04,0.7190045877809355,32.994029540718856,0.6541525783446843,29.824076385559277,0.5962789224781927,29.788502217752864,0.6261422431394859,38.307946066457774,3469.07
2016-01-05,0.7161983623857036,32.99566851044639,0.6625401560945525,29.625657469800576,0.5886525008893378,29.104282810588135,0.6233115247901642,37.955532945308335,3478.78
2016-01-06,0.7167409485086335,33.253759769110815,0.6628465929193545,30.02934581903328,0.5861777452231536,29.31025946178914,0.6188748454147083,37.292326545497176,3539.81
2016-01-07,0.7783979489540849,41.33062759048761,0.6999890957903284,34.62313832041668,0.6231804397598194,32.665237645414145,0.58496459725389,36.091057066942746,3294.38
2016-01-08,0.782569832717835,42.25387905775656,0.7027111031461096,35.08346424570847,0.6225918442033118,32.57350487076705,0.5643617038685563,34.08780763351172,3361.56
2016-01-11,0.7948016850864521,45.444390219731396,0.7150113444125351,37.01286373321863,0.635776601624197,34.02238547396524,0.5961507038636772,35.16078036485386,3192.45
2016-01-12,0.7942073828427751,43.976704772109734,0.714881094432756,37.054935485723256,0.63721374010085,34.068741694393296,0.5626755834663475,33.86878137301599,3215.71
2016-01-13,0.7917439607355199,44.14873859795314,0.7124646990424861,37.229353946830734,0.6414586134318346,34.12286861807434,0.5653987839789765,33.28647637640135,3155.88
2016-01-14,0.7896780791061224,45.23322395874154,0.7166386283707439,37.68662442517676,0.6621907012665218,33.94943107860895,0.5750346636283716,33.44556045365603,3221.57
2016-01-15,0.787036058384629,45.04953732418425,0.7212085513476554,38.015727703114145,0.6732477157475713,34.36271571104453,0.5895868019866292,33.856819176354726,3118.73
2016-01-18,0.7879540686205889,45.07306512160019,0.7219132390122879,38.058892148704096,0.6758462159486874,34.24332313798135,0.602917416946722,33.86409554029966,3130.73
2016-01-19,0.7894008688438864,45.42535846796326,0.7255577187152626,38.95968184845688,0.678240689013782,34.79242202906928,0.6024250614117925,33.73742788201011,3223.13
2016-01-20,0.7945341333729975,45.25627256469297,0.7240913075657848,39.04723784246731,0.6811378745170048,34.89247202221696,0.601353926796277,33.5592081665566,3174.38
2016-01-21,0.7955242858558556,45.67972439543451,0.7261863064762022,39.433979149611446,0.683287237966979,35.17238114238205,0.6033723030529871,33.733715663476005,3081.35
2016-01-22,0.8113048168554945,46.30593363244937,0.7276935750753305,39.61810117337108,0.6841076386843989,35.25258104153128,0.6066133174345063,33.733176650522154,3113.46
2016-01-25,0.8112530097546605,46.4079250130728,0.7152134153720276,37.540725853653974,0.6848293693247147,35.278349506601046,0.6075516237251158,33.744404206429444,3128.89
2016-01-26,0.8199449002036765,49.4567039238824,0.7437941996472269,40.21913121165475,0.7023218423835982,37.196549509487724,0.6377900202070319,35.088856503434144,2940.51
2016-01-27,0.8124740568906685,48.962622988624645,0.7443013695214609,40.10830097529251,0.7002497305293255,37.19677046054796,0.6378800082468147,34.48995673783071,2930.35
2016-01-28,0.8044313244014798,48.936057633735324,0.7221698613202371,39.08452351261314,0.6882960337658915,36.12222373883051,0.6379773459908109,33.748254772006405,2853.76
2016-01-29,0.8169192230367199,51.471134777031494,0.7357999434993098,40.088795952029926,0.6904549371756636,36.493556769479966,0.6383325887552389,34.01999785831718,2946.09
2016-02-01,0.7901803798664893,46.3919535293215,0.734952052934226,40.01937370223622,0.6946006371922415,36.13647594966422,0.6407508790754153,34.089311868488785,2901.05
2016-02-02,0.7988120220972548,47.37410197237836,0.7416413393467798,40.50050283399277,0.7056735629732067,36.332806479680066,0.6440416895767365,34.14117660358792,2961.33
2016-02-03,0.7961694471711925,46.47539912095387,0.7457757708850675,40.38325083160335,0.7076482805133133,36.32926046204334,0.6447460155958644,34.09990251270844,2948.64
2016-02-04,0.7828035499529795,40.838589446025544,0.7521118360526247,40.55518945595543,0.7105271392418286,36.47203992857401,0.6422347864196807,33.979743598016306,2984.76
2016-02-05,0.7669038518616387,39.78130671274817,0.7458537323051974,40.55691696822871,0.7079464244450911,36.45706869115749,0.6403254127058866,33.969784864658024,2963.79
2016-02-15,0.7541158349785337,36.129423307921726,0.7496244968238477,40.55672943668876,0.7094573894362164,36.41323601086653,0.6441567790539442,33.88539059764707,2946.71
2016-02-16,0.7699643669532521,37.892749844540944,0.7559539334454268,40.66101263077295,0.7147945632590661,37.022405159495506,0.6492054810884927,34.26661826408613,3037.04
2016-02-17,0.7694466498788706,37.62167169845289,0.7554134925100645,40.80017470554339,0.7135807950713293,37.10204997645603,0.6475215282572874,34.15066494278017,3063.32
2016-02-18,0.7665619976097562,36.73496116331722,0.7556177122152011,40.79807037902711,0.7165770239862242,37.065333298761004,0.6489756162315549,34.12768791854134,3053.7
2016-02-19,0.7557139628302055,35.06704185265234,0.7525240807836675,40.37242993071015,0.7179787246227636,36.86183480968865,0.6506077108994925,33.776883512916335,3051.59
2016-02-22,0.7620909465248453,35.94200520066696,0.7579269029586932,40.87295366179593,0.7217643132267322,37.2098221412836,0.6543023473425571,33.90514505131902,3118.87
2016-02-23,0.7528811720677088,34.3997127945665,0.7606177739023079,40.15222374532702,0.7227225782712979,37.22869442352885,0.6512511763280415,33.50004774957603,3089.36
2016-02-24,0.7621637708579166,34.172562495458074,0.7714771537454337,40.211572929903184,0.7236754145152354,37.27479856638969,0.6510263626652748,33.52418671448737,3109.55
2016-02-25,0.7897603385550984,39.40740991957909,0.7843081920496384,42.65911272061416,0.7345005081749495,39.1306448008068,0.6644779675218188,35.01706420792722,2918.75
