date,RC20,HV20,RC40,HV40,RC60,HV60,RC90,HV90,上证50
2016-01-04,0.7190045877809355,31.659924020263414,0.6541525783446843,29.48409048748652,0.5962789224781927,28.21869669088245,0.6261422431394859,37.528554807389774,2270.46
2016-01-05,0.7161983623857036,31.866705304975795,0.6625401560945525,29.226145202289366,0.5886525008893378,27.668736599336746,0.6233115247901642,37.22126061236486,2288.11
2016-01-06,0.7167409485086335,32.02286510630445,0.6628465929193545,29.4662117383854,0.5861777452231536,27.76398997034626,0.6188748454147083,36.7775958008033,2317.65
2016-01-07,0.7783979489540849,38.21150459778661,0.6999890957903284,32.847199430918934,0.6231804397598194,30.359508709254442,0.58496459725389,34.459507697249286,2180.59
2016-01-08,0.782569832717835,38.96291883615179,0.7027111031461096,33.18713642478306,0.6225918442033118,30.318035836967656,0.5643617038685563,32.33844641023234,2219.61
2016-01-11,0.7948016850864521,41.7365928331053,0.7150113444125351,34.79450211540157,0.635776601624197,31.55642825797851,0.5961507038636772,33.1918600575548,2120.23
2016-01-12,0.7942073828427751,39.87319047544187,0.714881094432756,34.853549231665895,0.63721374010085,31.585434926103023,0.5626755834663475,30.79846394973015,2131.37
2016-01-13,0.7917439607355199,39.85782408739968,0.7124646990424861,34.886311209551195,0.6414586134318346,31.599596326949964,0.5653987839789765,30.442332376633164,2105.51
2016-01-14,0.7896780791061224,40.38506026806882,0.7166386283707439,35.11521524110919,0.6621907012665218,31.72496397147454,0.5750346636283716,30.26898060496086,2132.08
2016-01-15,0.787036058384629,40.57591312560493,0.7212085513476554,35.46027912641771,0.6732477157475713,32.20596990517519,0.5895868019866292,30.5933675418728,2070.93
2016-01-18,0.7879540686205889,40.35274290966931,0.7219132390122879,35.45963166848957,0.6758462159486874,32.173288109975445,0.602917416946722,30.57257401891333,2069.27
2016-01-19,0.7894008688438864,39.97588002695227,0.7255577187152626,36.36523770051297,0.678240689013782,32.73863954627584,0.6024250614117925,29.828330652135804,2128.57
2016-01-20,0.7945341333729975,40.07445500366781,0.7240913075657848,36.5614209767278,0.6811378745170048,32.920709367646936,0.601353926796277,29.77270882620183,2088.72
2016-01-21,0.7955242858558556,40.124469927501785,0.7261863064762022,36.79293898682511,0.683287237966979,33.062488642304835,0.6033723030529871,29.90292350201053,2040.98
2016-01-22,0.8113048168554945,40.75493303514525,0.7276935750753305,36.97585318787313,0.6841076386843989,33.15525242516056,0.6066133174345063,29.95880308113868,2061.96
2016-01-25,0.8112530097546605,40.655119027213935,0.7152134153720276,35.245338542909565,0.6848293693247147,33.15156072791649,0.6075516237251158,29.94896272503355,2065.44
2016-01-26,0.8199449002036765,43.184070087165466,0.7437941996472269,37.63068604587092,0.7023218423835982,34.86546898773123,0.6377900202070319,31.22200233619834,1951.61
2016-01-27,0.8124740568906685,42.8132955958448,0.7443013695214609,37.60000184250318,0.7002497305293255,34.87194859451946,0.6378800082468147,30.99661179398948,1953.46
2016-01-28,0.8044313244014798,42.754025381673095,0.7221698613202371,35.42868838981881,0.6882960337658915,33.81348613067275,0.6379773459908109,30.720278509275158,1912.72
2016-01-29,0.8169192230367199,45.290669446774864,0.7357999434993098,36.56992523347709,0.6904549371756636,33.89040193682597,0.6383325887552389,31.01597271413122,1973.01
2016-02-01,0.7901803798664893,40.90753236126302,0.734952052934226,36.34020854168153,0.6946006371922415,33.627501124394804,0.6407508790754153,31.140255733844608,1937.07
2016-02-02,0.7988120220972548,41.46164963605094,0.7416413393467798,36.73053392590483,0.7056735629732067,33.64049708106685,0.6440416895767365,31.25221361634358,1969.62
2016-02-03,0.7961694471711925,40.78294458152078,0.7457757708850675,36.68536258541854,0.7076482805133133,33.65323593932142,0.6447460155958644,31.216323217079296,1952.37
2016-02-04,0.7828035499529795,36.43356372401889,0.7521118360526247,36.85696955669948,0.7105271392418286,33.79198581487049,0.6422347864196807,31.002263082994435,1974.24
2016-02-05,0.7669038518616387,35.47600507052657,0.7458537323051974,36.85733176039075,0.7079464244450911,33.75388515646684,0.6403254127058866,30.991403429390708,1967.26
2016-02-15,0.7541158349785337,32.384431417072925,0.7496244968238477,36.877168509795936,0.7094573894362164,33.73755604301737,0.6441567790539442,31.02274935752483,1948.28
2016-02-16,0.7699643669532521,34.010943989396765,0.7559539334454268,36.66136373681432,0.7147945632590661,34.28619274830741,0.6492054810884927,31.349399616372644,2000.9
2016-02-17,0.7694466498788706,34.00758533440546,0.7554134925100645,36.70668090474044,0.7135807950713293,34.32727225749961,0.6475215282572874,31.21350072383405,2014.44
2016-02-18,0.7665619976097562,33.57264484802549,0.7556177122152011,36.7078543083119,0.7165770239862242,34.32412843638117,0.6489756162315549,31.175232417652182,2009.27
2016-02-19,0.7557139628302055,32.17008346558578,0.7525240807836675,36.443266022217855,0.7179787246227636,34.185260220437215,0.6506077108994925,30.968513952286298,2004.11
2016-02-22,0.7620909465248453,33.44542038818242,0.7579269029586932,37.061728768085395,0.7217643132267322,34.6451378756962,0.6543023473425571,31.172603526045055,2053.86
2016-02-23,0.7528811720677088,31.93910297053519,0.7606177739023079,35.994023761756566,0.7227225782712979,34.6908621045146,0.6512511763280415,30.837767676064075,2029.52
2016-02-24,0.7621637708579166,31.46127688676716,0.7714771537454337,36.08740260797184,0.7236754145152354,34.73826650791473,0.6510263626652748,30.85207033535773,2041.39
2016-02-25,0.7897603385550984,35.92452905564745,0.7843081920496384,38.05329723329473,0.7345005081749495,36.22852324530491,0.6644779675218188,32.07449676023774,1932.6
