date,RC20,HV20,RC40,HV40,RC60,HV60,RC90,HV90,创业100
2016-01-04,0.7190045877809355,36.847336722908274,0.6541525783446843,39.124217697889065,0.5962789224781927,42.94692070153359,0.6261422431394859,53.7976811100591,2491.24
2016-01-05,0.7161983623857036,37.11912120442909,0.6625401560945525,39.220813971988804,0.5886525008893378,42.54457912487519,0.6233115247901642,53.88022670129962,2416.72
2016-01-06,0.7167409485086335,38.07316073443841,0.6628465929193545,39.58353011407696,0.5861777452231536,42.696590298331714,0.6188748454147083,52.77351831144972,2468.37
2016-01-07,0.7783979489540849,48.390284925027146,0.6999890957903284,44.57718321936132,0.6231804397598194,46.336671198880325,0.58496459725389,53.02003512325386,2256.52
2016-01-08,0.782569832717835,47.94719916258967,0.7027111031461096,44.57649001965771,0.6225918442033118,45.50683616790835,0.5643617038685563,51.38058604961259,2248.99
2016-01-11,0.7948016850864521,51.844756711763864,0.7150113444125351,46.72235196971688,0.635776601624197,47.13727880366675,0.5961507038636772,51.81490287544921,2106.36
2016-01-12,0.7942073828427751,52.21337394660611,0.714881094432756,46.19603536526582,0.63721374010085,47.335481149958014,0.5626755834663475,51.57881958150027,2147.53
2016-01-13,0.7917439607355199,52.373589560493905,0.7124646990424861,46.684266958837334,0.6414586134318346,47.49356728062042,0.5653987839789765,51.08417469760285,2059.78
2016-01-14,0.7896780791061224,57.281051460878395,0.7166386283707439,48.92944924343466,0.6621907012665218,46.977640064296324,0.5750346636283716,51.38797414677645,2175.01
2016-01-15,0.787036058384629,55.807296043686605,0.7212085513476554,47.88994190034905,0.6732477157475713,46.23269861648061,0.5895868019866292,50.77789643501968,2112.9
2016-01-18,0.7879540686205889,57.72324811833304,0.7219132390122879,48.51715170159528,0.6758462159486874,46.13833364885747,0.602917416946722,50.873906078257306,2174.93
2016-01-19,0.7894008688438864,59.54958445965247,0.7255577187152626,49.33304219597611,0.678240689013782,46.608250925338346,0.6024250614117925,50.99695939383402,2241.7
2016-01-20,0.7945341333729975,59.3066766863263,0.7240913075657848,49.10213847487431,0.6811378745170048,46.578254155526274,0.601353926796277,50.3022776995911,2204.65
2016-01-21,0.7955242858558556,60.19515711586738,0.7261863064762022,49.11060298599079,0.683287237966979,46.9295159748705,0.6033723030529871,50.49980858746862,2112.4
2016-01-22,0.8113048168554945,60.8766160856087,0.7276935750753305,49.358931957461245,0.6841076386843989,47.10279532387812,0.6066133174345063,50.50694524673699,2149.59
2016-01-25,0.8112530097546605,61.02370403752455,0.7152134153720276,47.01167751598846,0.6848293693247147,47.122075945294746,0.6075516237251158,50.48421150469158,2158.82
2016-01-26,0.8199449002036765,65.27373767877688,0.7437941996472269,50.31139773128106,0.7023218423835982,49.52226145416115,0.6377900202070319,50.551090660616204,1994.05
2016-01-27,0.8124740568906685,65.13965601835223,0.7443013695214609,50.36058960754728,0.7002497305293255,49.53075253293434,0.6378800082468147,49.58125082581585,1997.46
2016-01-28,0.8044313244014798,65.19927541194973,0.7221698613202371,51.258957994568576,0.6882960337658915,48.451103928601185,0.6379773459908109,48.88973986358005,1906.46
2016-01-29,0.8169192230367199,68.84632988324553,0.7357999434993098,51.80008871174691,0.6904549371756636,49.48462963668297,0.6383325887552389,49.446170879717,1994.07
2016-02-01,0.7901803798664893,63.93398879927615,0.734952052934226,51.82709060111951,0.6946006371922415,48.7652815235149,0.6407508790754153,49.26812013353488,1992.69
2016-02-02,0.7988120220972548,65.97088274903396,0.7416413393467798,52.84609273342278,0.7056735629732067,49.296282258500234,0.6440416895767365,49.10825357710212,2075.29
2016-02-03,0.7961694471711925,65.37037826991852,0.7457757708850675,52.895689713981156,0.7076482805133133,49.28878704456922,0.6447460155958644,49.12305918929777,2090.51
2016-02-04,0.7828035499529795,58.579951527307195,0.7521118360526247,53.20627520230631,0.7105271392418286,49.213714500993696,0.6422347864196807,49.20333168320619,2126.64
2016-02-05,0.7669038518616387,58.70785836689893,0.7458537323051974,53.08887059645918,0.7079464244450911,49.246881456046474,0.6403254127058866,49.207787560207805,2096.99
2016-02-15,0.7541158349785337,54.20335884673063,0.7496244968238477,53.224446748458575,0.7094573894362164,49.12000092602442,0.6441567790539442,48.744140484418914,2116.84
2016-02-16,0.7699643669532521,55.54710368838596,0.7559539334454268,54.17524301790323,0.7147945632590661,49.37951550747861,0.6492054810884927,48.51025451189035,2201.93
2016-02-17,0.7694466498788706,53.26050141906976,0.7554134925100645,54.048910817862236,0.7135807950713293,49.14955117123394,0.6475215282572874,48.48011274991315,2215.34
2016-02-18,0.7665619976097562,50.05644681435469,0.7556177122152011,53.98439779323802,0.7165770239862242,49.046524966682846,0.6489756162315549,48.49966908935639,2190.91
2016-02-19,0.7557139628302055,48.945670495828644,0.7525240807836675,53.52406188330412,0.7179787246227636,48.297174673705236,0.6506077108994925,47.808369620084186,2211.01
2016-02-22,0.7620909465248453,48.225558316090286,0.7579269029586932,53.784066698509314,0.7217643132267322,48.36812748621565,0.6543023473425571,47.836040490722276,2245.56
2016-02-23,0.7528811720677088,47.26031246513658,0.7606177739023079,53.787890580827465,0.7227225782712979,48.37926827102858,0.6512511763280415,47.31174490237164,2218.12
2016-02-24,0.7621637708579166,46.94697100367976,0.7714771537454337,53.732991589011604,0.7236754145152354,48.20790093372791,0.6510263626652748,47.284092800542545,2203.74
2016-02-25,0.7897603385550984,52.48332640797777,0.7843081920496384,56.54312702277885,0.7345005081749495,50.01749229548125,0.6644779675218188,48.935776784022536,2037.14
