date,RC60,HV60,AVG_SIGMA
2016-01-04,1.1093044116583533,1.5653826834009028,1.695236802698154
2016-01-05,1.0599765111470403,1.4788790979190416,1.6060074953278944
2016-01-06,1.043969724757242,1.4938615634619474,1.645809075690143
2016-01-07,1.2833041509345955,1.90211241757371,1.9991081070241719
2016-01-08,1.2794970990014534,1.8955891221415722,1.9950191977609932
2016-01-11,1.3647764655753747,2.090376682726046,2.169306612833093
2016-01-12,1.374071916000108,2.094939160684402,2.164253445640005
2016-01-13,1.40152787118359,2.097166616762648,2.144156237523909
2016-01-14,1.5356235744155968,2.116885776246223,2.0846654753397384
2016-01-15,1.607140642272221,2.19254351676738,2.1340272633029085
2016-01-18,1.6239478116511867,2.187402975647722,2.121616990686577
2016-01-19,1.6394353280120202,2.2763274758961916,2.2311863702203873
2016-01-20,1.6581744019801632,2.304965358169387,2.249140592200294
2016-01-21,1.672076542740113,2.3272659137796237,2.270353653189743
2016-01-22,1.6773829167055179,2.34185679036001,2.2867653434822914
2016-01-25,1.6820510899512102,2.341276120865923,2.281627710331567
2016-01-26,1.795192877445152,2.610857881324684,2.5463842104644545
2016-01-27,1.781790402089574,2.611877062949517,2.562584673430386
2016-01-28,1.7044735690481405,2.4453908039859495,2.4398807475395747
2016-01-29,1.7184374145253434,2.4574889418595194,2.3120089164591247
2016-02-01,1.7452519140366678,2.416137099696805,2.24658290946783
2016-02-02,1.8168718966102537,2.418181242292205,2.200616302726256
2016-02-03,1.8296444229152082,2.4201849457079723,2.195465859603701
2016-02-04,1.8482649588102942,2.4420090051345813,2.2090175445691584
2016-02-05,1.8315728259064987,2.4360161274479983,2.211215383668219
2016-02-15,1.8413457882178432,2.433447710424957,2.1978947733303684
2016-02-16,1.8758667724406215,2.5197431396099295,2.27500196970392
2016-02-17,1.868016087068602,2.526204562701509,2.291019790083515
2016-02-18,1.8873957764945113,2.525710069004532,2.2679232118127657
2016-02-19,1.8964620140136776,2.5038673957391695,2.237832449114139
2016-02-22,1.9209473031965123,2.5762018554107535,2.3062339622257353
2016-02-23,1.9271453873479165,2.583393849515395,2.3072509065891578
2016-02-24,1.9333083578704495,2.5908501193880227,2.3131141675045037
2016-02-25,2.0033253556000754,2.8252535843929705,2.5485339523420243
2016-02-26,2.012584033756768,2.8471026288859127,2.568966149613749
2016-02-29,1.9063867358747013,2.660930893867189,2.3798652067128008
2016-03-01,1.9479294277292116,2.6879599137252828,2.3871754091923267
2016-03-02,2.0002573338150906,2.812545601111335,2.4971693643539195
2016-03-03,1.9221471948444184,2.588661784685125,2.2938164299788317
2016-03-04,1.967321690969879,2.70589563180851,2.3907636833248276
2016-03-07,1.9390570567255718,2.6548253670399053,2.356211800778317
2016-03-08,1.9452932934863434,2.6576351847833237,2.3554300676647397
2016-03-09,1.9486060943167431,2.646145968547378,2.3420370262936934
2016-03-10,1.985019007029308,2.6894067265923147,2.3668235505897943
