date,RC20,HV20,RC40,HV40,RC60,HV60,RC90,HV90,中证500
2016-01-04,0.7190045877809355,37.06685517502651,0.6541525783446843,33.79810897061882,0.5962789224781927,36.26235827193409,0.6261422431394859,47.22759992376091,6983.4
2016-01-05,0.7161983623857036,36.75445345814432,0.6625401560945525,33.71711495230572,0.5886525008893378,35.59858708482276,0.6233115247901642,46.936110302707,6889.74
2016-01-06,0.7167409485086335,37.29718775442374,0.6628465929193545,34.36294429414545,0.5861777452231536,35.8704070330376,0.6188748454147083,46.269132243310594,7065.61
2016-01-07,0.7783979489540849,48.10801740943773,0.6999890957903284,40.336421689755184,0.6231804397598194,40.13316957794333,0.58496459725389,46.58208108189159,6462.24
2016-01-08,0.782569832717835,48.78079864814309,0.7027111031461096,40.656824046843525,0.6225918442033118,39.79964953247493,0.5643617038685563,44.86868656559066,6570.43
2016-01-11,0.7948016850864521,53.669597524918814,0.7150113444125351,43.70893917032187,0.635776601624197,41.964334396308836,0.5961507038636772,45.891014716943666,6128.66
2016-01-12,0.7942073828427751,52.746631348435294,0.714881094432756,43.27982739487295,0.63721374010085,41.968213047032634,0.5626755834663475,45.53171616607333,6136.66
2016-01-13,0.7917439607355199,53.06913499010816,0.7124646990424861,43.88591880460505,0.6414586134318346,42.312485930883625,0.5653987839789765,44.820109002443154,5924.04
2016-01-14,0.7896780791061224,55.13263563231314,0.7166386283707439,44.88601134784737,0.6621907012665218,41.00869697852695,0.5750346636283716,44.748294702609826,6124.82
2016-01-15,0.787036058384629,54.40605800797423,0.7212085513476554,44.94911879718191,0.6732477157475713,40.90874621591409,0.5895868019866292,43.923633153716516,5893.68
2016-01-18,0.7879540686205889,55.148686912580324,0.7219132390122879,45.03238799881398,0.6758462159486874,40.67480991002262,0.602917416946722,43.975232833332726,5978.91
2016-01-19,0.7894008688438864,57.13592618326177,0.7255577187152626,46.23695410771814,0.678240689013782,41.378580726218765,0.6024250614117925,44.37191488968896,6197.09
2016-01-20,0.7945341333729975,56.66425072835485,0.7240913075657848,46.1359302092325,0.6811378745170048,41.36368462148663,0.601353926796277,43.971418384796365,6138.5
2016-01-21,0.7955242858558556,57.58563863953323,0.7261863064762022,46.62887913908166,0.683287237966979,41.862949694492166,0.6033723030529871,44.250370297204675,5886.88
2016-01-22,0.8113048168554945,58.40203255921811,0.7276935750753305,46.98008568631447,0.6841076386843989,41.97172056698451,0.6066133174345063,44.258145611051525,5980.61
2016-01-25,0.8112530097546605,58.62936342531741,0.7152134153720276,44.749331757775344,0.6848293693247147,42.05305692031136,0.6075516237251158,44.26989528344585,6041.33
2016-01-26,0.8199449002036765,62.80632110776523,0.7437941996472269,48.144054750654014,0.7023218423835982,44.557542189514685,0.6377900202070319,44.58783983481345,5589.31
2016-01-27,0.8124740568906685,62.1568544162896,0.7443013695214609,48.07496944171905,0.7002497305293255,44.60161932422818,0.6378800082468147,43.611210711626946,5514.19
2016-01-28,0.8044313244014798,62.19405259275143,0.7221698613202371,48.95523218597526,0.6882960337658915,44.02513989235274,0.6379773459908109,42.89120999440318,5271.23
2016-01-29,0.8169192230367199,65.21175280575233,0.7357999434993098,49.667045995675565,0.6904549371756636,44.82476592377861,0.6383325887552389,43.24466771201381,5469.13
2016-02-01,0.7901803798664893,59.859649936980354,0.734952052934226,49.680424989930486,0.6946006371922415,44.48422271051895,0.6407508790754153,43.23449643846523,5399.48
2016-02-02,0.7988120220972548,62.060389958452,0.7416413393467798,50.53564610879678,0.7056735629732067,45.0444408294455,0.6440416895767365,43.21886826310847,5586.63
2016-02-03,0.7961694471711925,60.932705530219465,0.7457757708850675,50.39222053081475,0.7076482805133133,45.04508199964519,0.6447460155958644,43.2053515991271,5610.17
2016-02-04,0.7828035499529795,54.64033744701696,0.7521118360526247,50.815263090267685,0.7105271392418286,45.15137183261712,0.6422347864196807,43.30836494822303,5721.49
2016-02-05,0.7669038518616387,54.0084381842424,0.7458537323051974,50.817243262690816,0.7079464244450911,45.152966958843756,0.6403254127058866,43.25779511174079,5664.2
2016-02-15,0.7541158349785337,48.95975003800312,0.7496244968238477,50.846274185105464,0.7094573894362164,45.11999405590086,0.6441567790539442,42.927587269855536,5668.04
2016-02-16,0.7699643669532521,51.355195381177275,0.7559539334454268,51.74274832287673,0.7147945632590661,45.77572156609018,0.6492054810884927,43.35620337699672,5902.53
2016-02-17,0.7694466498788706,50.042698727386195,0.7554134925100645,51.8161124787351,0.7135807950713293,45.880239663709254,0.6475215282572874,43.29443801011475,5971.41
2016-02-18,0.7665619976097562,48.55717366207697,0.7556177122152011,51.7634658890662,0.7165770239862242,45.813710489429695,0.6489756162315549,43.291834133287914,5957.13
2016-02-19,0.7557139628302055,46.617258616026206,0.7525240807836675,51.252863950606155,0.7179787246227636,45.454499274416804,0.6506077108994925,42.77963901763601,5979.52
2016-02-22,0.7620909465248453,46.899604050340734,0.7579269029586932,51.67527108464751,0.7217643132267322,45.62366776364197,0.6543023473425571,42.843376484318405,6103.72
2016-02-23,0.7528811720677088,45.14899262799652,0.7606177739023079,51.488978097169145,0.7227225782712979,45.61761230570835,0.6512511763280415,42.37070250459555,6070.5
2016-02-24,0.7621637708579166,45.112507881427526,0.7714771537454337,51.454373422511324,0.7236754145152354,45.61431834377946,0.6510263626652748,42.331571184537346,6111.04
2016-02-25,0.7897603385550984,51.722314482550416,0.7843081920496384,54.804170056670785,0.7345005081749495,48.09774999954276,0.6644779675218188,44.380368365652714,5626.05
